Node ID,Discipline
5250,Biology
5252,Computer Science
5253,Computer Science
5255,Biology
5257,Computer Science
5261,Biology
5264,Computer Science
5266,Computer Science
5269,Computer Science
5283,Computer Science
5284,Computer Science
5285,Computer Science
5289,Biology
5294,Computer Science
5305,Biology
5306,Biology
5311,Biology
5312,Computer Science
5314,Biology
5315,Biology
5318,Biology
5319,Computer Science
5326,Computer Science
5330,Computer Science
5332,Biology
5333,Biology
5334,Biology
5335,Computer Science
5338,Computer Science
5339,Computer Science
5343,Biology
5345,Biology
5346,Biology
5352,Biology
5354,Biology
5355,Computer Science
5356,Computer Science
5359,Biology
5367,Biology
5371,Biology
5373,Computer Science
5374,Computer Science
5379,Computer Science
5380,Biology
5386,Biology
5389,Biology
5390,Computer Science
5393,Biology
5395,Computer Science
5397,Biology
5398,Computer Science
5400,Biology
5403,Computer Science
5406,Computer Science
5408,Biology
5409,Biology
5410,Biology
5412,Biology
5414,Biology
5419,Biology
5425,Biology
5426,Computer Science
5428,Computer Science
5435,Biology
5437,Biology
5438,Computer Science
5446,Computer Science
5449,Biology
5452,Biology
5454,Biology
5458,Computer Science
5461,Biology
5462,Biology
5467,Biology
5470,Computer Science
5471,Biology
5472,Computer Science
5474,Biology
5478,Biology
5479,Computer Science
5484,Biology
5485,Computer Science
5499,Computer Science
5505,Biology
5507,Biology
5508,Biology
5512,Biology
5513,Computer Science
5515,Biology
5516,Computer Science
5518,Computer Science
5519,Computer Science
5521,Computer Science
5525,Biology
5530,Computer Science
5531,Computer Science
5535,Biology
5537,Computer Science
5540,Computer Science
5541,Computer Science
5547,Biology
5551,Biology
5557,Biology
5566,Biology
5567,Computer Science
5574,Biology
5580,Computer Science
5582,Biology
5587,Biology
5595,Computer Science
5599,Biology
5604,Computer Science
5607,Computer Science
5609,Biology
5610,Biology
5614,Biology
5616,Computer Science
5619,Computer Science
5627,Biology
5629,Biology
5630,Computer Science
5631,Computer Science
5640,Biology
5641,Computer Science
5645,Computer Science
5648,Computer Science
5653,Computer Science
5656,Computer Science
5657,Biology
5658,Biology
5659,Computer Science
5663,Computer Science
5664,Computer Science
5666,Biology
5667,Biology
5668,Computer Science
5670,Biology
5671,Computer Science
5675,Computer Science
5676,Biology
5677,Computer Science
5682,Computer Science
5687,Computer Science
5690,Biology
5691,Computer Science
5693,Computer Science
5695,Computer Science
5699,Biology
5701,Computer Science
5705,Biology
5707,Computer Science
5711,Computer Science
5712,Computer Science
5718,Computer Science
5722,Biology
5724,Computer Science
5726,Computer Science
5729,Biology
5732,Biology
5738,Computer Science
5740,Computer Science
5743,Biology
5745,Biology
5747,Computer Science
5760,Biology
5763,Computer Science
5764,Computer Science
5766,Computer Science
5768,Computer Science
5769,Computer Science
5770,Biology
5774,Computer Science
5776,Computer Science
5779,Computer Science
5780,Biology
5781,Biology
5784,Computer Science
5786,Computer Science
5793,Computer Science
5805,Computer Science
5808,Computer Science
5810,Computer Science
5819,Biology
5823,Computer Science
5830,Computer Science
